;ID1;ID2;ID3;ID4;ID5;ID6;ID7;ID8;ID9;ID10;ID11;ID12;ID13;ID14;ID15;ID16;ID17;ID18;ID19;ID20;ID21;ID22;ID23;ID24;ID25;ID26;ID27;ID28;ID29;ID30;ID31;ID32;ID33;ID34;ID35;ID36;ID37;ID38;ID39;ID40;ID41;ID42;ID43;ID44;ID45;ID46;ID47;ID48;ID49;ID50;ID51;ID52;ID53;ID54;ID55;ID56;ID57;ID58;ID59;ID60;ID61;ID62;ID63;ID64;ID65;ID66;ID67;ID68;ID69;ID70;ID71;ID72;ID73;ID74;ID75;ID76;ID77;ID78;ID79;ID80;ID81;ID82;ID83;ID84;ID85;ID86;ID87;ID88;ID89;ID90;ID91;ID92;ID93;ID94;ID95;ID96;ID97;ID98;ID99;ID100;ID101;ID102;ID103;ID104;ID105;ID106;ID107;ID108;ID109;ID110;ID111;ID112;ID113;ID114;ID115;ID116;ID117;ID118;ID119;ID120;ID121;ID122;ID123;ID124;ID125;ID126;ID127;ID128;ID129;ID130;ID131;ID132;ID133;ID134;ID135;ID136;ID137;ID138;ID139;ID140;ID141;ID142;ID143;ID144;ID145;ID146;ID147;ID148;ID149;ID150;ID151;ID152;ID153;ID154;ID155;ID156;ID157;ID158;ID159;ID160;ID161;ID162;ID163;ID164;ID165;ID166;ID167;ID168;ID169;ID170;ID171;ID172;ID173;ID174;ID175;ID176;ID177;ID178;ID179;ID180;ID181;ID182;ID183;ID184;ID185;ID186;ID187;ID188;ID189;ID190;ID191;ID192;ID193;ID194;ID195;ID196;ID197;ID198;ID199;ID200;ID201;ID202;ID203;ID204;ID205;ID206;ID207;ID208;ID209;ID210;ID211;ID212;ID213;ID214;ID215;ID216;ID217;ID218;ID219;ID220;ID221;ID222;ID223;ID224;ID225;ID226;ID227;ID228;ID229;ID230;ID231;ID232;ID233;ID234;ID235;ID236;ID237;ID238;ID239;ID240;ID241;ID242;ID243;ID244;ID245;ID246
ID1;0.000000;1.401328;1.402232;1.402600;1.411659;1.400776;1.400471;1.404183;1.409895;1.409232;1.412388;1.410573;1.413020;1.410398;1.412536;1.411206;1.411929;1.412886;1.412340;1.411130;1.410033;1.408515;1.409434;1.411253;1.410729;1.409909;1.409373;1.409792;1.410112;1.411738;1.412120;1.412140;1.411991;1.412204;1.412024;1.412341;1.411844;1.412589;1.411963;1.409673;1.411503;1.410961;1.409830;1.410013;1.410302;1.411804;1.411260;1.411179;1.411553;1.412300;1.412183;1.411965;1.411889;1.411655;1.411982;1.412192;1.412096;1.411942;1.412004;1.412253;1.412030;1.412001;1.412263;1.412207;1.412003;1.411017;1.412064;1.411025;1.411669;1.411970;1.411862;1.411955;1.412053;1.412243;1.412280;1.412329;1.412395;1.411770;1.412350;1.412410;1.412371;1.412363;1.412350;1.412357;1.412355;1.410281;1.411671;1.409548;1.411876;1.410594;1.410616;1.411288;1.411637;1.412253;1.412222;1.412105;1.412174;1.412147;1.412279;1.412177;1.412212;1.412269;1.412240;1.411758;1.411871;1.410223;1.409468;1.411845;1.410851;1.411384;1.410019;1.412216;1.412259;1.412217;1.412141;1.412141;1.412257;1.412184;1.412350;1.412253;1.412230;1.411921;1.409611;1.410038;1.408835;1.409013;1.409483;1.412017;1.410326;1.407958;1.409645;1.411924;1.411430;1.411549;1.411062;1.412369;1.411699;1.411014;1.411382;1.410325;1.411246;1.410019;1.409529;1.410458;1.409693;1.409042;1.411464;1.411196;1.409637;1.410722;1.410100;1.410328;1.410099;1.410024;1.410263;1.409829;1.411003;1.410380;1.410421;1.410250;1.410893;1.411827;1.411873;1.411816;1.411777;1.411833;1.411797;1.411778;1.411796;1.411855;1.411844;1.411972;1.412059;1.412084;1.412220;1.411245;1.412095;1.410707;1.412373;1.411558;1.412431;1.407895;1.407756;1.408749;1.407649;1.407194;1.411416;1.407638;1.407323;1.407692;1.410351;1.411960;1.412321;1.412037;1.412094;1.411985;1.411947;1.412190;1.411935;1.412054;1.412034;1.410965;1.410190;1.409847;1.409976;1.409742;1.409891;1.410461;1.409997;1.410076;1.409549;1.411636;1.410910;1.412822;1.410688;1.410397;1.411262;1.411104;1.410062;1.411739;1.410402;1.410832;1.412179;1.412057;1.407773;1.408200;1.408344;1.408363;1.411648;1.410316;1.410316;1.411533;1.411698;1.411925;1.411690;1.411451;1.412256;1.410740;1.411623;1.411908;1.412146;1.410972;1.411817;1.412027;1.407336;1.411484
ID2;1.401328;0.000000;1.401523;1.402236;1.411465;1.400199;1.398358;1.402929;1.409392;1.408708;1.412318;1.410249;1.413014;1.410024;1.412477;1.411018;1.411728;1.412877;1.412253;1.410746;1.409346;1.407401;1.408401;1.410972;1.410318;1.409336;1.408561;1.409190;1.409358;1.411495;1.411892;1.411862;1.411730;1.412085;1.411825;1.412103;1.411481;1.412395;1.411832;1.410481;1.411760;1.411147;1.410365;1.410370;1.410792;1.411987;1.411461;1.411463;1.411814;1.412490;1.412375;1.412209;1.412100;1.411912;1.412219;1.412331;1.412255;1.412092;1.412202;1.412413;1.412173;1.412199;1.412414;1.412364;1.412188;1.410587;1.411906;1.410688;1.411400;1.411879;1.411639;1.411800;1.411814;1.412078;1.412203;1.412519;1.412601;1.411966;1.412537;1.412579;1.412554;1.412578;1.412507;1.412530;1.412538;1.410782;1.411922;1.410312;1.412147;1.411047;1.411076;1.411562;1.411936;1.412435;1.412439;1.412332;1.412368;1.412384;1.412464;1.412392;1.412420;1.412457;1.412423;1.411480;1.411588;1.410021;1.408363;1.411648;1.410806;1.411218;1.409670;1.412470;1.412472;1.412411;1.412345;1.412318;1.412459;1.412386;1.412547;1.412426;1.412439;1.411763;1.409165;1.410250;1.407644;1.408726;1.409768;1.411885;1.409750;1.407439;1.408784;1.411830;1.411256;1.411394;1.411027;1.412305;1.411789;1.410850;1.411106;1.410054;1.411045;1.409801;1.409053;1.410141;1.409296;1.408494;1.411303;1.411060;1.409241;1.410575;1.409898;1.410445;1.410045;1.410096;1.410556;1.409788;1.411141;1.410404;1.410642;1.410297;1.411053;1.411949;1.412011;1.411866;1.411897;1.412028;1.411978;1.411963;1.411999;1.412005;1.412009;1.412207;1.412286;1.412264;1.412382;1.411343;1.412325;1.410586;1.412530;1.411600;1.412603;1.407781;1.407495;1.408176;1.407228;1.406166;1.411486;1.406669;1.405638;1.406333;1.409876;1.412153;1.412492;1.412228;1.412320;1.412202;1.412152;1.412361;1.412153;1.412263;1.412269;1.410587;1.410178;1.410037;1.409462;1.409485;1.409872;1.410208;1.409761;1.409640;1.409203;1.411413;1.410671;1.412870;1.410280;1.409935;1.410997;1.410786;1.409524;1.411517;1.409962;1.410517;1.412014;1.412166;1.407161;1.407171;1.407275;1.407310;1.411405;1.409974;1.409864;1.411822;1.411960;1.412163;1.411925;1.411726;1.412392;1.410965;1.411873;1.412085;1.412311;1.410674;1.411414;1.411805;1.406477;1.411200
ID3;1.402232;1.401523;0.000000;1.402464;1.411591;1.400517;1.400982;1.404331;1.410027;1.409062;1.412339;1.410390;1.412998;1.410213;1.412494;1.411115;1.411835;1.412846;1.412296;1.411002;1.410042;1.408288;1.409330;1.411199;1.410649;1.410065;1.409422;1.409691;1.410123;1.411605;1.411990;1.412010;1.411819;1.412130;1.411917;1.412182;1.411656;1.412536;1.411880;1.409869;1.411520;1.411009;1.409974;1.410058;1.410379;1.411820;1.411262;1.411211;1.411584;1.412331;1.412229;1.412037;1.411891;1.411685;1.412011;1.412234;1.412107;1.411949;1.412057;1.412288;1.412014;1.412033;1.412300;1.412234;1.412051;1.410861;1.412036;1.411007;1.411560;1.411960;1.411792;1.411914;1.411997;1.412226;1.412232;1.412381;1.412471;1.411793;1.412432;1.412456;1.412418;1.412429;1.412356;1.412404;1.412406;1.410260;1.411699;1.409649;1.411920;1.410685;1.410697;1.411321;1.411637;1.412299;1.412310;1.412171;1.412235;1.412233;1.412337;1.412249;1.412283;1.412351;1.412301;1.411625;1.411723;1.410033;1.409326;1.411727;1.410696;1.411206;1.409877;1.412311;1.412329;1.412282;1.412197;1.412176;1.412326;1.412261;1.412398;1.412297;1.412284;1.411883;1.409591;1.409954;1.408966;1.408967;1.409635;1.411948;1.410269;1.408018;1.409700;1.411824;1.411472;1.411539;1.411121;1.412366;1.411769;1.411018;1.411343;1.410138;1.411242;1.409865;1.409372;1.410379;1.409537;1.408849;1.411417;1.411134;1.409498;1.410638;1.410041;1.410270;1.410045;1.409912;1.410030;1.409822;1.410930;1.410284;1.410420;1.410172;1.410853;1.411850;1.411895;1.411772;1.411818;1.411897;1.411823;1.411800;1.411875;1.411924;1.411872;1.412051;1.412093;1.412110;1.412262;1.411176;1.412161;1.410468;1.412415;1.411438;1.412489;1.407748;1.407802;1.408649;1.407390;1.407127;1.411363;1.407532;1.407131;1.407652;1.410310;1.412026;1.412377;1.412065;1.412177;1.412009;1.411963;1.412222;1.411955;1.412093;1.412081;1.410904;1.410301;1.409907;1.410003;1.409681;1.410018;1.410484;1.410029;1.410059;1.409659;1.411585;1.410703;1.412828;1.410546;1.410298;1.411093;1.410913;1.409913;1.411643;1.410294;1.410764;1.412168;1.412103;1.407652;1.408034;1.408227;1.408339;1.411572;1.410274;1.410181;1.411568;1.411723;1.411976;1.411673;1.411434;1.412304;1.410657;1.411663;1.411915;1.412151;1.410860;1.411690;1.411940;1.407308;1.411407
ID4;1.402600;1.402236;1.402464;0.000000;1.411624;1.401079;1.401367;1.404946;1.409996;1.409303;1.412264;1.410338;1.412936;1.410056;1.412411;1.411029;1.411739;1.412775;1.412231;1.411093;1.410025;1.408644;1.409562;1.411347;1.410737;1.410093;1.409610;1.409781;1.410133;1.411572;1.411937;1.411996;1.411854;1.412058;1.411898;1.412181;1.411635;1.412429;1.411779;1.409461;1.411227;1.410738;1.409597;1.409880;1.409984;1.411522;1.410993;1.410903;1.411258;1.412027;1.411914;1.411694;1.411600;1.411373;1.411770;1.411943;1.411836;1.411684;1.411758;1.411982;1.411731;1.411763;1.412034;1.411969;1.411776;1.410710;1.411962;1.410942;1.411543;1.411848;1.411800;1.411901;1.411953;1.412084;1.412145;1.412069;1.412212;1.411523;1.412138;1.412209;1.412156;1.412139;1.412132;1.412134;1.412135;1.409986;1.411390;1.409379;1.411665;1.410431;1.410360;1.410999;1.411385;1.412018;1.412008;1.411837;1.411940;1.411929;1.412049;1.411978;1.412011;1.412100;1.412019;1.411552;1.411588;1.409731;1.409497;1.411558;1.410317;1.411036;1.409609;1.412008;1.412052;1.411988;1.411889;1.411905;1.412050;1.411958;1.412091;1.412024;1.411978;1.411786;1.409651;1.409706;1.408957;1.408819;1.409341;1.411860;1.410176;1.407850;1.409660;1.411781;1.411375;1.411469;1.410961;1.412315;1.411536;1.410916;1.411256;1.410071;1.411165;1.410035;1.409743;1.410642;1.409856;1.409306;1.411560;1.411323;1.409875;1.410818;1.410303;1.409843;1.409753;1.409530;1.409691;1.409483;1.410565;1.409830;1.410095;1.409754;1.410497;1.411578;1.411592;1.411587;1.411572;1.411584;1.411535;1.411518;1.411546;1.411614;1.411572;1.411708;1.411808;1.411819;1.411976;1.410884;1.411873;1.410211;1.412135;1.411212;1.412218;1.407801;1.407938;1.408764;1.407769;1.407795;1.411180;1.407886;1.407836;1.408302;1.410426;1.411695;1.412119;1.411771;1.411897;1.411762;1.411680;1.411964;1.411646;1.411815;1.411801;1.410978;1.410155;1.409772;1.409962;1.409477;1.409839;1.410329;1.409946;1.410103;1.409492;1.411590;1.410681;1.412704;1.410542;1.410341;1.411054;1.410978;1.410028;1.411700;1.410277;1.410787;1.412103;1.411893;1.408007;1.408506;1.408540;1.408619;1.411679;1.410409;1.410372;1.411242;1.411424;1.411700;1.411318;1.411118;1.412092;1.410339;1.411285;1.411635;1.411922;1.410912;1.411645;1.411904;1.407582;1.411455
ID5;1.411659;1.411465;1.411591;1.411624;0.000000;1.411551;1.411517;1.411290;1.410543;1.410649;1.412342;1.411605;1.412692;1.412010;1.412659;1.411540;1.412250;1.412937;1.412450;1.411196;1.410781;1.411057;1.411208;1.410673;1.410687;1.410988;1.411015;1.410846;1.410839;1.411210;1.411804;1.411852;1.411602;1.412154;1.411572;1.411909;1.411591;1.411895;1.411788;1.411984;1.412143;1.411934;1.411865;1.411725;1.411821;1.412300;1.412049;1.412080;1.412327;1.412546;1.412493;1.412515;1.412347;1.412340;1.412393;1.412438;1.412410;1.412049;1.412156;1.412466;1.412376;1.412410;1.412598;1.412443;1.412460;1.410948;1.411448;1.411041;1.410854;1.411270;1.410984;1.411201;1.411047;1.411307;1.411164;1.412485;1.412556;1.412064;1.412396;1.412553;1.412545;1.412610;1.412450;1.412445;1.412515;1.411954;1.412229;1.412158;1.412403;1.412206;1.412260;1.412237;1.412677;1.412343;1.412318;1.412228;1.412224;1.412253;1.412385;1.412275;1.412303;1.412366;1.412345;1.411424;1.411645;1.412047;1.411826;1.411592;1.412098;1.411614;1.411724;1.412387;1.412374;1.412322;1.412226;1.412185;1.412386;1.412262;1.412481;1.412424;1.412427;1.411239;1.411526;1.411937;1.411626;1.411817;1.411951;1.411165;1.411472;1.411653;1.411638;1.411436;1.412032;1.411552;1.412081;1.411914;1.412253;1.411733;1.411921;1.409543;1.412133;1.411500;1.411280;1.411470;1.411254;1.411153;1.411678;1.411292;1.411431;1.411416;1.411299;1.412284;1.412224;1.412235;1.412227;1.412374;1.412355;1.412100;1.412414;1.412284;1.412290;1.411916;1.412041;1.412012;1.411762;1.412330;1.412013;1.412058;1.412024;1.412049;1.411906;1.412337;1.412251;1.412246;1.412356;1.410863;1.412289;1.409346;1.412510;1.411000;1.412614;1.411506;1.411585;1.411459;1.411270;1.411055;1.411996;1.411196;1.411271;1.411260;1.411063;1.412242;1.412527;1.412481;1.412477;1.412365;1.412361;1.412368;1.412315;1.412334;1.412360;1.411998;1.411818;1.411973;1.411749;1.411561;1.411862;1.411866;1.412011;1.411963;1.411799;1.412053;1.411807;1.412945;1.411356;1.412036;1.411598;1.411632;1.411706;1.411940;1.411945;1.411067;1.411615;1.412284;1.411223;1.411353;1.411138;1.411279;1.411609;1.411550;1.410221;1.412443;1.412371;1.412467;1.412263;1.412179;1.412332;1.412163;1.412349;1.412375;1.412603;1.411083;1.411219;1.411261;1.411005;1.410631
ID6;1.400776;1.400199;1.400517;1.401079;1.411551;0.000000;1.399394;1.403222;1.409616;1.408968;1.412348;1.410512;1.413020;1.410294;1.412501;1.411169;1.411785;1.412822;1.412281;1.410994;1.409974;1.408116;1.409242;1.411056;1.410558;1.409869;1.409182;1.409591;1.409947;1.411643;1.412042;1.412054;1.411838;1.412205;1.411940;1.412230;1.411686;1.412479;1.411948;1.409300;1.411517;1.410880;1.409515;1.409783;1.410085;1.411810;1.411283;1.411142;1.411565;1.412384;1.412290;1.411971;1.411901;1.411661;1.412042;1.412245;1.412116;1.411972;1.412106;1.412311;1.412004;1.412051;1.412323;1.412256;1.411989;1.410895;1.412021;1.410879;1.411520;1.411915;1.411740;1.411888;1.411975;1.412155;1.412217;1.412418;1.412493;1.411881;1.412426;1.412490;1.412454;1.412491;1.412417;1.412420;1.412443;1.409929;1.411659;1.409097;1.411955;1.410464;1.410365;1.411235;1.411569;1.412326;1.412300;1.412219;1.412260;1.412284;1.412378;1.412281;1.412312;1.412378;1.412309;1.411661;1.411767;1.409899;1.409431;1.411814;1.410771;1.411396;1.409883;1.412334;1.412372;1.412322;1.412252;1.412237;1.412361;1.412285;1.412441;1.412322;1.412339;1.411786;1.409305;1.409826;1.408572;1.408584;1.409175;1.411970;1.410182;1.407339;1.409471;1.411802;1.411373;1.411414;1.410946;1.412281;1.411785;1.410867;1.411252;1.410138;1.411047;1.409632;1.409069;1.410052;1.409358;1.408602;1.411336;1.411015;1.409359;1.410473;1.409634;1.410031;1.409895;1.409737;1.410021;1.409602;1.410841;1.410167;1.410222;1.410000;1.410776;1.411897;1.411977;1.411794;1.411833;1.411865;1.411917;1.411880;1.411924;1.411988;1.411967;1.412043;1.412138;1.412168;1.412289;1.411181;1.412223;1.410515;1.412449;1.411494;1.412507;1.407379;1.407171;1.408419;1.407115;1.406695;1.411369;1.407044;1.406835;1.407249;1.410139;1.412032;1.412395;1.412049;1.412206;1.412029;1.411932;1.412254;1.411986;1.412115;1.412096;1.410710;1.409995;1.409474;1.409865;1.409408;1.409631;1.410289;1.409762;1.409912;1.409192;1.411519;1.410856;1.412861;1.410586;1.410311;1.411114;1.410950;1.409817;1.411664;1.410215;1.410586;1.412112;1.412131;1.407144;1.407914;1.408078;1.408108;1.411471;1.410184;1.409990;1.411470;1.411643;1.411979;1.411676;1.411378;1.412333;1.410545;1.411597;1.411947;1.412195;1.410865;1.411690;1.411936;1.406913;1.411324
ID7;1.400471;1.398358;1.400982;1.401367;1.411517;1.399394;0.000000;1.403473;1.409356;1.408546;1.412309;1.410031;1.412988;1.409801;1.412387;1.410881;1.411640;1.412849;1.412176;1.410677;1.409306;1.407419;1.408452;1.411188;1.410432;1.409235;1.408713;1.409083;1.409104;1.411276;1.411594;1.411654;1.411596;1.411937;1.411611;1.411998;1.411212;1.412304;1.411665;1.409271;1.411532;1.410823;1.409353;1.409389;1.410037;1.411884;1.411260;1.411110;1.411565;1.412411;1.412305;1.412045;1.411936;1.411695;1.412068;1.412304;1.412102;1.411991;1.412143;1.412371;1.412036;1.412061;1.412361;1.412291;1.412044;1.410305;1.411750;1.410630;1.411341;1.411760;1.411585;1.411742;1.411870;1.412052;1.412155;1.412486;1.412548;1.411845;1.412460;1.412535;1.412500;1.412500;1.412467;1.412466;1.412470;1.410165;1.411787;1.409381;1.412059;1.410545;1.410584;1.411323;1.411659;1.412402;1.412388;1.412273;1.412333;1.412333;1.412440;1.412335;1.412367;1.412427;1.412355;1.411193;1.411339;1.409670;1.408340;1.411378;1.410731;1.410796;1.409536;1.412407;1.412432;1.412370;1.412287;1.412261;1.412416;1.412376;1.412522;1.412427;1.412372;1.411726;1.408663;1.409785;1.407091;1.408250;1.408825;1.411804;1.409409;1.406502;1.408387;1.411785;1.411046;1.411309;1.410645;1.412325;1.411590;1.410604;1.410931;1.410054;1.410750;1.409864;1.409407;1.410242;1.409534;1.408835;1.411444;1.411196;1.409501;1.410570;1.409985;1.410110;1.409709;1.409875;1.410091;1.409304;1.410908;1.410224;1.410069;1.409975;1.410848;1.411862;1.411950;1.411757;1.411795;1.411896;1.411864;1.411855;1.411924;1.411927;1.411945;1.412098;1.412180;1.412166;1.412346;1.411281;1.412253;1.410773;1.412484;1.411629;1.412571;1.407643;1.407470;1.408045;1.407143;1.406310;1.411516;1.406776;1.405980;1.406628;1.409792;1.412017;1.412441;1.412098;1.412232;1.412071;1.412012;1.412287;1.412004;1.412143;1.412133;1.410417;1.409690;1.409260;1.409004;1.408913;1.409166;1.409751;1.409051;1.409272;1.408331;1.411499;1.410557;1.412840;1.410243;1.410002;1.410960;1.410846;1.409661;1.411481;1.410050;1.410526;1.412030;1.412152;1.407359;1.407243;1.407348;1.407272;1.411490;1.410146;1.410082;1.411621;1.411811;1.412026;1.411746;1.411456;1.412383;1.410730;1.411687;1.411945;1.412260;1.410419;1.411201;1.411638;1.406180;1.411196
ID8;1.404183;1.402929;1.404331;1.404946;1.411290;1.403222;1.403473;0.000000;1.409912;1.409376;1.412345;1.410738;1.412914;1.410743;1.412530;1.411195;1.411836;1.412839;1.412273;1.411009;1.410121;1.408933;1.409657;1.410783;1.410382;1.410090;1.409531;1.409805;1.410247;1.411543;1.411936;1.412022;1.411744;1.412155;1.411823;1.412151;1.411767;1.412330;1.411907;1.410292;1.411658;1.411099;1.410284;1.410348;1.410694;1.411830;1.411425;1.411364;1.411726;1.412278;1.412185;1.412027;1.411941;1.411747;1.412019;1.412175;1.412069;1.411908;1.412003;1.412238;1.412025;1.412037;1.412274;1.412195;1.412075;1.410834;1.411809;1.410897;1.411247;1.411683;1.411422;1.411653;1.411641;1.411886;1.411897;1.412302;1.412384;1.411772;1.412301;1.412379;1.412359;1.412369;1.412294;1.412298;1.412322;1.410698;1.411775;1.410294;1.411969;1.411037;1.411067;1.411517;1.411841;1.412242;1.412197;1.412107;1.412159;1.412177;1.412272;1.412184;1.412224;1.412284;1.412224;1.411587;1.411716;1.410591;1.409901;1.411721;1.411103;1.411318;1.410337;1.412240;1.412258;1.412223;1.412110;1.412109;1.412271;1.412168;1.412361;1.412252;1.412250;1.411594;1.409899;1.410526;1.409555;1.409660;1.410152;1.411715;1.410581;1.408961;1.410071;1.411496;1.411482;1.411359;1.411233;1.412001;1.411771;1.411066;1.411308;1.410051;1.411336;1.410144;1.409606;1.410446;1.409751;1.409172;1.411305;1.410901;1.409828;1.410584;1.410122;1.410727;1.410583;1.410595;1.410683;1.410468;1.411284;1.410795;1.410863;1.410707;1.411258;1.411782;1.411846;1.411767;1.411699;1.411905;1.411798;1.411828;1.411833;1.411879;1.411839;1.412008;1.412039;1.412009;1.412174;1.411090;1.412071;1.410392;1.412343;1.411369;1.412409;1.408744;1.408647;1.409349;1.408413;1.408036;1.411446;1.408293;1.408232;1.408472;1.410239;1.411952;1.412343;1.412098;1.412157;1.412032;1.411964;1.412169;1.411959;1.412067;1.412059;1.411041;1.410578;1.410219;1.410393;1.410125;1.410330;1.410764;1.410420;1.410498;1.410043;1.411612;1.411066;1.412814;1.410756;1.410666;1.411190;1.411153;1.410265;1.411677;1.410627;1.410696;1.411971;1.412099;1.408449;1.408836;1.408956;1.409030;1.411438;1.410512;1.409938;1.411728;1.411826;1.412040;1.411762;1.411604;1.412242;1.411035;1.411746;1.411963;1.412216;1.410881;1.411607;1.411788;1.407842;1.410955
ID9;1.409895;1.409392;1.410027;1.409996;1.410543;1.409616;1.409356;1.409912;0.000000;1.410519;1.412483;1.411430;1.412924;1.411686;1.412660;1.411457;1.412035;1.412916;1.412376;1.410759;1.410726;1.410657;1.410286;1.409402;1.409930;1.410494;1.410381;1.410661;1.410501;1.411219;1.411749;1.411736;1.411245;1.412321;1.411385;1.411795;1.411408;1.411730;1.411956;1.411308;1.412024;1.411647;1.411317;1.411114;1.411448;1.412149;1.411906;1.411901;1.412011;1.412366;1.412312;1.412244;1.412085;1.412054;1.412189;1.412366;1.412318;1.412055;1.412135;1.412338;1.412307;1.412280;1.412465;1.412376;1.412352;1.410644;1.411149;1.410980;1.410772;1.411217;1.410284;1.411043;1.410501;1.410938;1.410959;1.412327;1.412376;1.411936;1.412284;1.412420;1.412379;1.412399;1.412301;1.412315;1.412319;1.411616;1.412097;1.411672;1.412169;1.411878;1.411926;1.412026;1.412386;1.412237;1.412204;1.412130;1.412151;1.412148;1.412275;1.412172;1.412198;1.412291;1.412218;1.411482;1.411515;1.411550;1.411279;1.411639;1.411767;1.411603;1.411156;1.412259;1.412278;1.412219;1.412112;1.412152;1.412317;1.412196;1.412362;1.412258;1.412301;1.411066;1.411039;1.411632;1.410937;1.411360;1.411429;1.411502;1.411330;1.410960;1.411233;1.410728;1.411787;1.411195;1.411782;1.411282;1.412110;1.411504;1.411654;1.410075;1.411793;1.411448;1.411050;1.411322;1.411143;1.410894;1.411714;1.410945;1.411305;1.411279;1.410999;1.411946;1.411860;1.411873;1.411860;1.411839;1.412138;1.411844;1.412046;1.411884;1.412106;1.411875;1.411954;1.411901;1.411640;1.412146;1.411930;1.411950;1.411963;1.411963;1.411908;1.412096;1.412086;1.412081;1.412220;1.411153;1.412112;1.410457;1.412365;1.411429;1.412437;1.410937;1.410959;1.410991;1.410705;1.410422;1.411931;1.410696;1.410567;1.410537;1.410699;1.412098;1.412397;1.412264;1.412314;1.412211;1.412145;1.412191;1.412170;1.412158;1.412192;1.411549;1.411463;1.411464;1.411374;1.411267;1.411415;1.411529;1.411491;1.411521;1.411213;1.411715;1.411664;1.412813;1.411069;1.411620;1.411260;1.411598;1.411351;1.411784;1.411548;1.411037;1.411455;1.412346;1.410769;1.410848;1.410726;1.410595;1.411219;1.411399;1.410024;1.412198;1.412179;1.412282;1.412105;1.411976;1.412341;1.411843;1.412145;1.412183;1.412428;1.410509;1.410785;1.410896;1.410151;1.409779
ID10;1.409232;1.408708;1.409062;1.409303;1.410649;1.408968;1.408546;1.409376;1.410519;0.000000;1.412263;1.410963;1.412700;1.411174;1.412502;1.411062;1.411867;1.412812;1.412192;1.410853;1.410097;1.409971;1.410686;1.410909;1.410510;1.410565;1.410545;1.410083;1.410342;1.410858;1.411230;1.411489;1.411230;1.411888;1.411240;1.411738;1.411153;1.411799;1.411320;1.411236;1.411721;1.411345;1.410990;1.410844;1.411108;1.412024;1.411525;1.411550;1.411868;1.412214;1.412185;1.412124;1.412033;1.411928;1.412067;1.412227;1.412131;1.411873;1.411919;1.412246;1.412123;1.412104;1.412332;1.412194;1.412205;1.410263;1.411226;1.410484;1.410601;1.410964;1.410899;1.411179;1.411123;1.411229;1.411138;1.412239;1.412344;1.411626;1.412201;1.412364;1.412309;1.412320;1.412228;1.412235;1.412284;1.411308;1.411947;1.411446;1.412127;1.411704;1.411704;1.411830;1.412282;1.412140;1.412107;1.412050;1.412028;1.412087;1.412192;1.412044;1.412091;1.412183;1.412114;1.410887;1.411057;1.411201;1.410902;1.410996;1.411485;1.410679;1.410763;1.412181;1.412166;1.412111;1.412004;1.411989;1.412198;1.412115;1.412266;1.412166;1.412197;1.410979;1.410687;1.411177;1.410690;1.410899;1.411185;1.410845;1.410640;1.410395;1.410776;1.411203;1.411649;1.411347;1.411511;1.411885;1.411826;1.411308;1.411438;1.409949;1.411618;1.410915;1.410440;1.411161;1.410600;1.410180;1.411279;1.410887;1.410559;1.410831;1.410646;1.411547;1.411470;1.411471;1.411521;1.411516;1.411806;1.411367;1.411710;1.411540;1.411777;1.411541;1.411691;1.411581;1.411485;1.411940;1.411629;1.411683;1.411724;1.411667;1.411626;1.412016;1.411954;1.411997;1.412147;1.411059;1.412020;1.410362;1.412295;1.411337;1.412421;1.410319;1.410534;1.410369;1.410088;1.409766;1.411584;1.410023;1.410070;1.410212;1.410680;1.411859;1.412261;1.412146;1.412144;1.412030;1.412035;1.412057;1.412014;1.411958;1.412017;1.411484;1.411061;1.411144;1.411026;1.410680;1.411005;1.411167;1.411263;1.411209;1.411000;1.411881;1.411139;1.412813;1.410798;1.411391;1.411314;1.411132;1.411058;1.411600;1.411294;1.410481;1.411638;1.412025;1.410100;1.410304;1.410039;1.410396;1.411550;1.411018;1.409832;1.412034;1.412043;1.412130;1.411908;1.411784;1.412200;1.411527;1.411956;1.412000;1.412305;1.410201;1.410949;1.411034;1.408646;1.410368
